STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
de Lanaudière / Laurier,Le Plateau-Mont-Royal,45.5333136054992,-73.5837368667126,St-Dominique / du Mont-Royal,Le Plateau-Mont-Royal,45.5205806236527,-73.5857605934143,1745255510982,1745255965951
Métro Sherbrooke (de Rigaud / Berri),Le Plateau-Mont-Royal,45.5181431215493,-73.5680043697357,Milton / Hutchison,Le Plateau-Mont-Royal,45.5089591312988,-73.5742115136418,1745240242866,1745240579134
St-Dominique / Napoléon,Le Plateau-Mont-Royal,45.5166644221988,-73.5772204399109,Campus MIL (Thérèse-Lavoie Roux / Outremont),Outremont,45.5230551346741,-73.6181750893593,1745246799285,1745248051136
Boyer / St-Zotique,Rosemont - La Petite-Patrie,45.5386622004592,-73.6058074235916,St-Dominique / Jean-Talon,Villeray—Saint-Michel—Parc-Extension,45.5352039824168,-73.6175217570053,1745237948977,1745238308533
7e avenue / St-Joseph,Rosemont - La Petite-Patrie,45.5471081733699,-73.5693669319153,de la Commune / St-Sulpice,Ville-Marie,45.504242455634,-73.553469479084,1745237398225,1745238973161
de l'Esplanade  / Fairmount,Le Plateau-Mont-Royal,45.5214845586552,-73.5968488454819,Clark / Laurier,Le Plateau-Mont-Royal,45.5225503282284,-73.5935054719448,1745246993353,1745247142721
Parc Molson (d'Iberville / Beaubien),Rosemont - La Petite-Patrie,45.549022304554,-73.5919816419482,Jacques-Casault / Christophe-Colomb,Ahuntsic-Cartierville,45.5519617793483,-73.6303174495697,1745248838978,1745250029280
Lincoln / St-Marc,Ville-Marie,45.4941684131003,-73.5825741291046,Bassin Peel (Smith / de la Commune),Le Sud-Ouest,45.4927225362334,-73.5562723875046,1745243287264,1745244386982
Ste-Catherine / Dézéry,Mercier - Hochelaga-Maisonneuve,45.5393850819617,-73.5409998893738,Union / René-Lévesque,Ville-Marie,45.502350361368,-73.5665827989578,1745238674946,1745239784868
de l'Esplanade  / Fairmount,Le Plateau-Mont-Royal,45.5214845586552,-73.5968488454819,Sewell / Roy,Le Plateau-Mont-Royal,45.5146774394712,-73.5765981674194,1745254047008,1745254536227
de l'Hôtel-de-Ville / Rachel,Le Plateau-Mont-Royal,45.5198965550783,-73.5801064968109,Métro Mont-Royal (Utilités publiques / Rivard),Le Plateau-Mont-Royal,45.524247014284,-73.5816621780396,1745238688742,1745238910699
Ann / Wellington,Le Sud-Ouest,45.4945203875443,-73.5567659139633,Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,45.5271953631905,-73.5645255446434,1745233822888,1745235314057
