STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
Fullum / Ontario,Ville-Marie,45.5303174,-73.5548669,Plessis / Ontario,Ville-Marie,45.523593057451,-73.5610976815224,1745248475093,1745248739806
Ste-Catherine / Union,Ville-Marie,45.5037038778984,-73.5694152116776,de la Porte de Québec / St-André,Ville-Marie,45.5132941,-73.5505781,1745250917110,1745251678080
41e avenue / Rosemont,Rosemont - La Petite-Patrie,45.5717897766696,-73.5643149912357,Ste-Famille / des Pins,Le Plateau-Mont-Royal,45.5128561793357,-73.5769280791283,1745242917215,1745244515333
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),Mercier - Hochelaga-Maisonneuve,45.5543733998197,-73.5513746738434,Plessis / Ontario,Ville-Marie,45.523593057451,-73.5610976815224,1745248441409,1745249660117
Métro Jean-Talon (Lajeunesse / Jean-Talon),Villeray—Saint-Michel—Parc-Extension,45.5395653492216,-73.6141189561022,Everett / Garnier,Villeray—Saint-Michel—Parc-Extension,45.5475815310964,-73.6122085154057,1745242658855,1745242948136
Gilford / Papineau,Le Plateau-Mont-Royal,45.5343936461316,-73.5782369971275,Émery / St-Denis,Ville-Marie,45.5148315578511,-73.5634928941727,1745251593990,1745252458981
Clark / Rachel,Le Plateau-Mont-Royal,45.5175374492075,-73.5824152455461,Bassin olympique (Chemin du Chenal le Moyne),Ville-Marie,45.5169025120042,-73.5272455215454,1745249887673,1745252885096
Gilford / de Brébeuf,Le Plateau-Mont-Royal,45.5308702477731,-73.581557571888,Gilford / de Brébeuf,Le Plateau-Mont-Royal,45.5308702477731,-73.581557571888,1745251609376,1745251780337
Aylmer / Prince-Arthur,Le Plateau-Mont-Royal,45.5085668694744,-73.5776978731155,Émery / St-Denis,Ville-Marie,45.5148315578511,-73.5634928941727,1745250116530,1745250556437
de St-Vallier / Rosemont,Rosemont - La Petite-Patrie,45.5319210430527,-73.5980477929115,St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,45.5295246656531,-73.604888767004,1745253913513,1745254159807
City Councillors / du President-Kennedy,Ville-Marie,45.5062510325678,-73.571390658617,de la Commune / Place Jacques-Cartier,Ville-Marie,45.5076100945105,-73.551836013794,1745233719129,1745234675548
Gary-Carter / St-Laurent,Villeray—Saint-Michel—Parc-Extension,45.5361348895366,-73.6225846409798,St-Dominique / de Bellechasse,Rosemont - La Petite-Patrie,45.5295246656531,-73.604888767004,1745255157194,1745255787698
Jeanne-d'Arc / Ontario,Mercier - Hochelaga-Maisonneuve,45.5495976788718,-73.5418742895126,Métro Joliette  (Hochelaga / Joliette),Mercier - Hochelaga-Maisonneuve,45.5469919465328,-73.5511533915996,1745239839138,1745240082432
Parc Plage,Ville-Marie,45.5026343310011,-73.5274929057232,Parc Plage,Ville-Marie,45.5026343310011,-73.5274929057232,1745245305912,1745247633624
Clark / de Liège,Villeray—Saint-Michel—Parc-Extension,45.5399880240158,-73.6381127730783,de l'Esplanade  / Fairmount,Le Plateau-Mont-Royal,45.5214845586552,-73.5968488454819,1745249555028,1745251719660
Bloomfield / Bernard,Outremont,45.5203381937083,-73.6077547073364,de Kent / de la Côte-des-Neiges,Côte-des-Neiges - Notre-Dame-de-Grâce,45.501449330577,-73.6330506205559,1745246049704,1745247202926
Ottawa / Young,Le Sud-Ouest,45.4937090532742,-73.5597785469326,de la Commune / Berri,Ville-Marie,45.51086,-73.54983,1745255950461,1745256900301
de la Cathédrale / René-Lévesque,Ville-Marie,45.4991616948139,-73.5693196766442,Guy / Sainte-Catherine,Ville-Marie,45.4949751285313,-73.5777704324846,1745249516894,1745249793229
Clark / de Liège,Villeray—Saint-Michel—Parc-Extension,45.5399880240158,-73.6381127730783,Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,45.5367852512844,-73.6148879583925,1745251253969,1745252011322
Centre ÉPIC (St-Zotique / 40e avenue),Rosemont - La Petite-Patrie,45.5741470372199,-73.5746213793755,Métro Viau (Pierre-de-Coubertin / Viau),Mercier - Hochelaga-Maisonneuve,45.562288149995,-73.5462259054839,1745246943727,1745247669276
Vallières / St-Laurent,Le Plateau-Mont-Royal,45.5189672233201,-73.5836161673069,Clark / St-Viateur,Le Plateau-Mont-Royal,45.5251943015533,-73.5993563756347,1745248971357,1745249417928
du Séminaire / de la Montagne,Le Sud-Ouest,45.4921078892434,-73.562462925911,Square Viger (Berri / Viger),Ville-Marie,45.5121682576952,-73.5548159480095,1745234847208,1745235538708
Gilford / Parthenais,Le Plateau-Mont-Royal,45.5378294372357,-73.5748085007799,9e avenue / Masson,Rosemont - La Petite-Patrie,45.5494899487993,-73.573272228241,1745251109199,1745251528846
Ateliers municipaux de St-Laurent (Cavendish / Poirier),Saint-Laurent,45.506175841461,-73.7111860513687,Place Rodolphe-Rousseau (Gohier / Édouard-Laurin),Saint-Laurent,45.5129938566323,-73.6824984848499,1745249151341,1745251590356
Laurier / de Brébeuf,Le Plateau-Mont-Royal,45.5324490168198,-73.5847695171833,Christophe-Colomb / St-Joseph,Le Plateau-Mont-Royal,45.5303648655596,-73.5843926668167,1745238929431,1745239008496
de Gaspé / St-Viateur,Le Plateau-Mont-Royal,45.5276726466961,-73.5973826050758,Fabre / Laurier,Le Plateau-Mont-Royal,45.5345869115438,-73.582599293477,1745251270723,1745251610139
St-Mathieu / Lincoln,Ville-Marie,45.4949857893094,-73.5812672600878,Cathcart / McGill College,Ville-Marie,45.5011876814898,-73.570454878145,1745235138961,1745235539680
